filepath,label,class_name
Data\train\bottle-blue\Monitoring_photo1_04-Mar_03-09-16_01.jpg,0,bottle-blue
Data\train\bottle-blue\Monitoring_photo1_04-Mar_03-15-24_01.jpg,0,bottle-blue
Data\train\bottle-blue\Monitoring_photo1_04-Mar_03-20-38_01.jpg,0,bottle-blue
Data\train\bottle-blue\Monitoring_photo1_04-Mar_03-39-13_01.jpg,0,bottle-blue
Data\train\bottle-blue\Monitoring_photo1_04-Mar_03-46-26_01.jpg,0,bottle-blue
Data\train\bottle-blue\Monitoring_photo1_04-Mar_04-02-25_01.jpg,0,bottle-blue
Data\train\bottle-blue\Monitoring_photo1_04-Mar_04-04-37_01.jpg,0,bottle-blue
Data\train\bottle-blue\Monitoring_photo2_04-Mar_00-10-24_01.jpg,0,bottle-blue
Data\train\bottle-blue\Monitoring_photo2_04-Mar_00-16-30_01.jpg,0,bottle-blue
Data\train\bottle-blue\Monitoring_photo2_04-Mar_00-18-06_01.jpg,0,bottle-blue
Data\train\bottle-blue\Monitoring_photo2_04-Mar_00-38-18_01.jpg,0,bottle-blue
Data\train\bottle-blue\Monitoring_photo2_04-Mar_03-00-44_01.jpg,0,bottle-blue
Data\train\bottle-blue\Monitoring_photo3_03-Mar_18-41-05_01.jpg,0,bottle-blue
Data\train\bottle-blue\Monitoring_photo3_03-Mar_20-25-37_01.jpg,0,bottle-blue
Data\train\bottle-blue\Monitoring_photo3_03-Mar_20-35-02_01.jpg,0,bottle-blue
Data\train\bottle-blue\Monitoring_photo3_03-Mar_20-53-52_01.jpg,0,bottle-blue
Data\train\bottle-blue\Monitoring_photo3_03-Mar_21-10-32_01.jpg,0,bottle-blue
Data\train\bottle-blue\Monitoring_photo3_03-Mar_21-22-53_01.jpg,0,bottle-blue
Data\train\bottle-blue\Monitoring_photo3_03-Mar_21-59-58_01.jpg,0,bottle-blue
Data\train\bottle-blue\Monitoring_photo_04-Mar_04-21-55_01.jpg,0,bottle-blue
Data\train\bottle-blue\Monitoring_photo_04-Mar_04-29-09_01.jpg,0,bottle-blue
Data\train\bottle-blue\Monitoring_photo_04-Mar_04-29-09_02.jpg,0,bottle-blue
Data\train\bottle-blue\Monitoring_photo_04-Mar_04-35-23_01.jpg,0,bottle-blue
Data\train\bottle-blue\Monitoring_photo_04-Mar_04-37-20_01.jpg,0,bottle-blue
Data\train\bottle-blue\Monitoring_photo_04-Mar_05-01-18_01.jpg,0,bottle-blue
Data\train\bottle-blue\Monitoring_photo_04-Mar_05-13-23_01.jpg,0,bottle-blue
Data\train\bottle-blue\Monitoring_photo_04-Mar_05-15-51_01.jpg,0,bottle-blue
Data\train\bottle-blue\Monitoring_photo_04-Mar_05-18-32_01.jpg,0,bottle-blue
Data\train\bottle-blue\Monitoring_photo_04-Mar_05-28-11_01.jpg,0,bottle-blue
Data\train\bottle-blue\Monitoring_photo_04-Mar_05-31-45_01.jpg,0,bottle-blue
Data\train\bottle-blue\Monitoring_photo_04-Mar_05-59-40_01.jpg,0,bottle-blue
Data\train\bottle-blue\Monitoring_photo_04-Mar_06-24-30_01.jpg,0,bottle-blue
Data\train\bottle-blue\Monitoring_photo_04-Mar_06-29-16_01.jpg,0,bottle-blue
Data\train\bottle-blue\Monitoring_photo_04-Mar_08-45-01_01.jpg,0,bottle-blue
Data\train\bottle-blue\Monitoring_photo_04-Mar_08-46-52_01.jpg,0,bottle-blue
Data\train\bottle-blue\Monitoring_photo_04-Mar_08-46-59_01.jpg,0,bottle-blue
Data\train\bottle-blue\Monitoring_photo_04-Mar_08-55-05_01.jpg,0,bottle-blue
Data\train\bottle-blue\Monitoring_photo_04-Mar_08-59-22_01.jpg,0,bottle-blue
Data\train\bottle-blue\POSAD_1_10-Sep_18-31-38_01.jpg,0,bottle-blue
Data\train\bottle-blue\POSAD_1_10-Sep_18-32-12_01.jpg,0,bottle-blue
Data\train\bottle-blue\POSAD_1_10-Sep_18-37-19_01.jpg,0,bottle-blue
Data\train\bottle-blue\POSAD_1_10-Sep_18-39-35_01.jpg,0,bottle-blue
Data\train\bottle-blue\POSAD_1_11-Sep_05-30-39_01.jpg,0,bottle-blue
Data\train\bottle-blue\POSAD_1_11-Sep_05-38-36_01.jpg,0,bottle-blue
Data\train\bottle-blue\POSAD_1_11-Sep_06-11-34_01.jpg,0,bottle-blue
Data\train\bottle-blue\POSAD_1_11-Sep_06-18-23_01.jpg,0,bottle-blue
Data\train\bottle-blue\POSAD_1_11-Sep_06-18-45_01.jpg,0,bottle-blue
Data\train\bottle-blue\POSAD_1_11-Sep_06-24-04_01.jpg,0,bottle-blue
Data\train\bottle-blue\POSAD_1_11-Sep_06-24-38_01.jpg,0,bottle-blue
Data\train\bottle-blue\POSAD_1_11-Sep_06-29-11_01.jpg,0,bottle-blue
Data\train\bottle-blue\POSAD_1_11-Sep_06-30-19_01.jpg,0,bottle-blue
Data\train\bottle-blue\POSAD_1_11-Sep_08-25-39_01.jpg,0,bottle-blue
Data\train\bottle-blue\POSAD_1_11-Sep_08-38-09_01.jpg,0,bottle-blue
Data\train\bottle-blue\POSAD_1_11-Sep_08-39-40_01.jpg,0,bottle-blue
Data\train\bottle-blue\POSAD_1_11-Sep_08-39-40_02.jpg,0,bottle-blue
